WBAN,STATION_ID,STATION_NAME,"LATN/LONGW(deg,min,sec)",ELEV(ft),TOWER_HEIGHT(m),TROPICAL,COASTAL,INLAND,"LAT_N(deg,min,sec)","LONG_W(deg,min,sec)",LONGfloat,LATDfloat,STATION_CALLSIGN,LONG,LAT
14929,KABR,"Aberdeen, SD",452721 / 0982447,1302,20,0,0,1,452721,982447.0,2.17009372218,0.460809590746,KABR,-98.4130555556,45.4558333333
54766,KENX,"Albany, NY",423511 / 0740350,1826,20,0,0,1,423511,740350.0,1.74812460597,0.572041601945,KENX,-74.0638888889,42.5863888889
3019,KABX,"Albuquerque, NM",350859 / 1064926,5870,20,0,0,1,350859,1064926.0,3.03519647494,0.329467963032,KABX,-106.823888889,35.1497222222
3981,KFDR,"Altus AFB, OK",342144 / 0985835,1267,10,0,0,1,342144,985835.0,2.88134528152,0.347060106407,KFDR,-98.9763888889,34.3622222222
23047,KAMA,"Amarillo, TX",351400 / 1014233,3587,20,0,0,1,351400,1014233.0,2.88626351736,0.346468710839,KAMA,-101.709166667,35.2333333333
26548,PAHG,"Anchorage, AK",604333 / 1512105,242,30,0,0,1,604333,1512105.0,2.5021056272,0.399663383165,PAHG,-151.351388889,60.7258333333
41417,PGUA,"Anderson AFB, GU",132709 / 1444841E,264,30,1,1,0,132709,1444841.0,10.8872872224,0.0918502451135,PGUA,144.811388889,13.4525
53819,KFFC,"Atlanta, GA",332149 / 0843357,858,30,0,0,1,332149,843357.0,2.53909239528,0.393841516701,KFFC,-84.5658333333,33.3636111111
12971,KEWX,"Austin/San Antonio, TX",294214 / 0980142,633,20,0,0,0,294214,980142.0,3.33139143617,0.30017487262,KEWX,-98.0283333333,29.7038888889
93240,KBBX,"Beale AFB, CA",392946 / 1213754,167,10,0,0,1,392946,1213754.0,3.08885699307,0.323744350173,KBBX,-121.631666667,39.4961111111
99991,PABC,"Bethel, AK",604731 / 1615235,162,5,0,0,0,604731,1615235.0,2.6709975179,0.374391961541,PABC,-161.876388889,60.7919444444
94096,KBLX,"Billings, MT",455114 / 1083624,3598,10,0,0,1,455114,1083624.0,2.38099465189,0.419992543539,KBLX,-108.606666667,45.8538888889
4725,KBGM,"Binghamton, NY",421159 / 0755905,1606,20,0,0,1,421159,755905.0,1.79482095836,0.557158637659,KBGM,-75.9847222222,42.1997222222
53823,KBMX,"Birmingham, AL",331020 / 0864611,645,30,0,0,1,331020,864611.0,2.61196000242,0.382854254688,KBMX,-86.7697222222,33.1722222222
24011,KBIS,"Bismarck, ND",464615 / 1004538,1658,20,0,0,1,464615,1004538.0,2.16208688914,0.462516101929,KBIS,-100.760555556,46.7708333333
4101,KCBX,"Boise, ID",432926 / 1161408,3061,20,0,0,1,432926,1161408.0,2.68269404009,0.372759615914,KCBX,-116.235555556,43.4905555556
54765,KBOX,"Boston, MA",415721 / 0710813,118,30,1,1,0,415721,710813.0,1.70983183433,0.584852837525,KBOX,-71.1369444444,41.9558333333
12919,KBRO,"Brownsville, TX",255458 / 0972508,23,10,1,1,0,255458,972508.0,3.80691933703,0.262679587212,KBRO,-97.4188888889,25.9161111111
14733,KBUF,"Buffalo, NY",425656 / 0784412,693,20,0,0,1,425656,784412.0,1.84283083053,0.542643406781,KBUF,-78.7366666667,42.9488888889
54774,KCXX,"Burlington, VT",443040 / 0731001,317,30,0,0,1,443040,731001.0,1.64996614301,0.606073042308,KCXX,-73.1669444444,44.5111111111
43216,RKSG,"Camp Humphreys, Korea",365721 / 1270116E,52,20,1,1,0,365721,1270116.0,3.47290967705,0.287942991034,RKSG,127.021111111,36.9558333333
3022,KFDX,"Cannon AFB, NM",343807 / 1033748,4650,10,0,0,1,343807,1033748.0,3.00676833223,0.332582989278,KFDX,-103.63,34.6352777778
99992,KICX,"Cedar City, UT",373527 / 1125144,10600,30,0,0,1,373527,1125144.0,3.01221598439,0.331981506367,KICX,-112.862222222,37.5908333333
53845,KCLX,"Charleston, SC",323920 / 0810232,97,30,1,1,0,323920,810232.0,2.50133366263,0.399786727752,KCLX,-81.0422222222,32.6555555556
53834,KRLX,"Charleston, WV",381840 / 0814323,1080,30,0,0,1,381840,814323.0,2.13262884978,0.468904844883,KRLX,-81.7230555556,38.3111111111
24018,KCYS,"Cheyenne, WY",410907 / 1044822,6128,10,0,0,1,410907,1044822.0,2.54272134571,0.393279429415,KCYS,-104.806111111,41.1519444444
4831,KLOT,"Chicago, IL",413617 / 0880505,663,20,0,0,1,413617,880505.0,2.12879306218,0.469749745884,KLOT,-88.0847222222,41.6047222222
13841,KILN,"Cincinnati, OH",392513 / 0834918,1056,30,0,0,1,392513,834918.0,2.12710916581,0.470121616734,KILN,-83.8216666667,39.4202777778
14820,KCLE,"Cleveland, OH",412447 / 0815135,763,20,0,0,1,412447,815135.0,1.97633877807,0.505986124998,KCLE,-81.8597222222,41.4130555556
13883,KCAE,"Columbia, SC",335655 / 0810706,231,30,1,1,0,335655,810706.0,2.41529546707,0.414028020022,KCAE,-81.1183333333,33.9486111111
53837,KGWX,"Columbus AFB, MS",335348 / 0881944,476,20,0,0,1,335348,881944.0,2.62993666281,0.380237293978,KGWX,-88.3288888889,33.8966666667
12924,KCRP,"Corpus Christi, TX",274703 / 0973040,45,20,1,1,0,274703,973040.0,3.54215279775,0.282314190578,KCRP,-97.5111111111,27.7841666667
3985,KFWS,"Dallas/Ft. Worth, TX",323423 / 0971811,683,20,0,0,1,323423,971811.0,3.00476774997,0.332804423905,KFWS,-97.3030555556,32.5730555556
94982,KDVN,"Davenport, IA",413642 / 0903451,754,20,0,0,1,413642,903451.0,2.18413749087,0.457846634737,KDVN,-90.5808333333,41.6116666667
3018,KFTG,"Denver, CO",394712 / 1043245,5497,30,0,0,1,394712,1043245.0,2.64305366951,0.378350243711,KFTG,-104.545833333,39.7866666667
94984,KDMX,"Des Moines, IA",414352 / 0934322,981,30,0,0,1,414352,934322.0,2.25489921613,0.44347880067,KDMX,-93.7227777778,41.7311111111
4830,KDTX,"Detroit, MI",424159 / 0832818,1072,30,0,0,1,424159,832818.0,1.96345709981,0.509305754679,KDTX,-83.4716666667,42.6997222222
13985,KDDC,"Dodge City, KS",374539 / 0995808,2590,20,0,0,1,374539,995808.0,2.65875649799,0.376115676918,KDDC,-99.9688888889,37.7608333333
93770,KDOX,"Dover AFB, DE",384932 / 0752623,50,30,1,1,0,384932,752623.0,1.9552102709,0.511453941748,KDOX,-75.4397222222,38.8255555556
14913,KDLH,"Duluth, MN",465013 / 0921235,1428,30,0,0,1,465013,921235.0,1.98109515218,0.504771312423,KDLH,-92.2097222222,46.8369444444
3987,KDYX,"Dyess AFB, TX",323218 / 0991516,1517,10,0,0,1,323218,991516.0,3.06763855973,0.325983645246,KDYX,-99.2544444444,32.5383333333
53114,KEYX,"Edwards AFB, CA",350552 / 1173339,2757,20,0,0,1,350552,1173339.0,3.3471182592,0.298764466194,KEYX,-117.560833333,35.0977777778
53825,KEVX,"Eglin AFB, FL",303352 / 0855517,140,20,1,1,0,303352,855517.0,2.82021216277,0.354583251998,KEVX,-85.9213888889,30.5644444444
3020,KEPZ,"El Paso, TX",315223 / 1064153,4104,30,0,0,1,315223,1064153.0,3.3758735879,0.296219622554,KEPZ,-106.698055556,31.8730555556
